-0.434,-0.084,-0.258
-0.424,-0.081,-0.256
-0.414,-0.078,-0.254
-0.405,-0.076,-0.251
-0.395,-0.073,-0.249
-0.385,-0.071,-0.247
-0.376,-0.068,-0.245
-0.366,-0.066,-0.243
-0.356,-0.064,-0.241
-0.347,-0.061,-0.239
-0.337,-0.059,-0.237
-0.327,-0.056,-0.235
-0.317,-0.054,-0.233
-0.308,-0.052,-0.231
-0.298,-0.05,-0.229
-0.288,-0.048,-0.228
-0.278,-0.046,-0.226
-0.269,-0.043,-0.224
-0.259,-0.041,-0.222
-0.249,-0.039,-0.221
-0.239,-0.037,-0.219
-0.229,-0.035,-0.217
-0.22,-0.034,-0.216
-0.21,-0.032,-0.214
-0.2,-0.03,-0.213
-0.19,-0.028,-0.211
-0.18,-0.026,-0.21
-0.17,-0.024,-0.208
-0.161,-0.023,-0.207
-0.151,-0.021,-0.206
-0.141,-0.019,-0.204
-0.131,-0.018,-0.203
-0.121,-0.016,-0.202
-0.111,-0.015,-0.2
-0.101,-0.013,-0.199
-0.091,-0.012,-0.198
-0.082,-0.01,-0.197
-0.072,-0.009,-0.195
-0.062,-0.008,-0.194
-0.052,-0.006,-0.193
-0.042,-0.005,-0.192
-0.032,-0.004,-0.191
-0.022,-0.003,-0.19
-0.012,-0.001,-0.189
-0.002,-0.0,-0.188
0.008,0.001,-0.187
0.018,0.002,-0.186
0.028,0.003,-0.185
0.038,0.004,-0.184
0.047,0.005,-0.183
0.057,0.006,-0.182
0.067,0.007,-0.181
0.077,0.008,-0.18
0.087,0.009,-0.18
0.097,0.009,-0.179
0.107,0.01,-0.178
0.117,0.011,-0.177
0.127,0.012,-0.176
0.137,0.012,-0.176
0.147,0.013,-0.175
0.157,0.014,-0.174
0.167,0.014,-0.174
0.177,0.015,-0.173
0.187,0.015,-0.172
0.197,0.016,-0.172
0.207,0.016,-0.171
0.217,0.017,-0.17
0.227,0.017,-0.17
0.237,0.017,-0.169
0.247,0.018,-0.168
0.257,0.018,-0.168
0.267,0.018,-0.167
0.277,0.019,-0.167
0.287,0.019,-0.166
0.297,0.019,-0.166
0.307,0.019,-0.165
0.317,0.019,-0.165
0.327,0.019,-0.164
0.337,0.02,-0.164
0.347,0.02,-0.163
0.357,0.02,-0.163
0.367,0.02,-0.162
0.377,0.02,-0.162
0.387,0.02,-0.162
0.397,0.019,-0.161
0.407,0.019,-0.161
0.417,0.019,-0.16
0.427,0.019,-0.16
0.437,0.019,-0.159
0.447,0.019,-0.159
0.457,0.018,-0.159
0.467,0.018,-0.158
0.477,0.018,-0.158
0.487,0.017,-0.158
0.497,0.017,-0.157
0.507,0.017,-0.157
0.517,0.016,-0.157
0.527,0.016,-0.156
0.537,0.015,-0.156
0.547,0.015,-0.156
0.557,0.014,-0.019
0.567,0.014,-0.022
0.577,0.013,-0.024
0.587,0.013,-0.026
0.597,0.012,-0.028
0.607,0.011,-0.031
0.617,0.011,-0.033
0.627,0.01,-0.035
0.637,0.009,-0.037
0.647,0.009,-0.039
0.657,0.008,-0.041
0.667,0.007,-0.043
0.677,0.006,-0.045
0.687,0.005,-0.047
0.697,0.005,-0.049
0.707,0.004,-0.051
0.717,0.003,-0.053
0.726,0.002,-0.055
0.736,0.001,-0.057
0.746,0.0,-0.059
0.756,-0.001,-0.061
0.766,-0.002,-0.063
0.776,-0.003,-0.065
0.786,-0.004,-0.067
0.796,-0.005,-0.069
0.806,-0.006,-0.07
0.816,-0.007,-0.072
0.826,-0.008,-0.074
0.836,-0.009,-0.076
0.846,-0.01,-0.078
0.856,-0.011,-0.079
0.866,-0.013,-0.081
0.876,-0.014,-0.083
0.886,-0.015,-0.084
0.895,-0.016,-0.086
0.905,-0.017,-0.087
0.915,-0.019,-0.089
0.925,-0.02,-0.091
0.935,-0.021,-0.092
0.945,-0.023,-0.094
0.955,-0.024,-0.095
0.965,-0.025,-0.097
0.975,-0.027,-0.098
0.985,-0.028,-0.1
0.995,-0.029,-0.101
1.005,-0.031,-0.102
1.014,-0.032,-0.104
1.024,-0.033,-0.105
1.034,-0.035,-0.107
1.044,-0.036,-0.108
1.054,-0.038,-0.109
1.064,-0.039,-0.11
1.074,-0.041,-0.112
1.084,-0.042,-0.113
1.094,-0.044,-0.114
1.103,-0.045,-0.115
1.113,-0.047,-0.116
1.123,-0.048,-0.118
1.133,-0.05,-0.119
1.143,-0.051,-0.12
1.153,-0.053,-0.121
1.163,-0.055,-0.122
1.173,-0.056,-0.123
1.182,-0.058,-0.124
1.192,-0.059,-0.125
1.202,-0.061,-0.126
1.212,-0.063,-0.127
1.222,-0.064,-0.128
1.232,-0.066,-0.129
1.242,-0.068,-0.13
1.252,-0.069,-0.131
1.261,-0.071,-0.131
1.271,-0.073,-0.132
1.281,-0.074,-0.133
1.291,-0.076,-0.134
1.301,-0.078,-0.135
1.311,-0.079,-0.135
1.32,-0.081,-0.136
1.33,-0.083,-0.137
1.34,-0.085,-0.138
1.35,-0.086,-0.138
1.36,-0.088,-0.139
1.37,-0.09,-0.139
1.38,-0.092,-0.14
1.389,-0.093,-0.141
1.399,-0.095,-0.141
1.409,-0.097,-0.142
1.419,-0.099,-0.142
1.429,-0.101,-0.143
1.439,-0.102,-0.143
1.448,-0.104,-0.144
1.458,-0.106,-0.144
1.468,-0.108,-0.145
1.478,-0.11,-0.145
1.488,-0.111,-0.145
1.498,-0.113,-0.146
1.507,-0.115,-0.146
1.517,-0.117,-0.146
1.527,-0.119,-0.147
1.537,-0.12,-0.147
1.547,-0.122,-0.147
1.557,-0.124,-0.148
