14.34,0.035,-0.033
14.349,0.031,-0.032
14.359,0.028,-0.032
14.368,0.025,-0.031
14.378,0.022,-0.031
14.388,0.02,-0.03
14.397,0.018,-0.03
14.407,0.016,-0.029
14.417,0.014,-0.028
14.427,0.012,-0.028
14.437,0.01,-0.027
14.447,0.009,-0.027
14.456,0.007,-0.026
14.466,0.006,-0.025
14.476,0.004,-0.025
14.486,0.003,-0.024
14.496,0.002,-0.023
14.506,0.001,-0.023
14.516,-0.001,-0.022
14.526,-0.002,-0.021
14.536,-0.003,-0.021
14.546,-0.004,-0.02
14.556,-0.005,-0.019
14.566,-0.005,-0.018
14.576,-0.006,-0.017
14.586,-0.007,-0.017
14.596,-0.008,-0.016
14.606,-0.009,-0.015
14.616,-0.009,-0.014
14.625,-0.01,-0.013
14.635,-0.011,-0.012
14.645,-0.011,-0.011
14.655,-0.012,-0.01
14.665,-0.012,-0.009
14.675,-0.013,-0.008
14.685,-0.013,-0.007
14.695,-0.014,-0.006
14.705,-0.014,-0.005
14.715,-0.015,-0.004
14.725,-0.015,-0.003
14.735,-0.015,-0.002
14.745,-0.016,-0.001
14.755,-0.016,0.0
14.765,-0.016,0.001
14.775,-0.017,0.003
14.785,-0.017,0.004
14.795,-0.017,0.005
14.805,-0.017,0.006
14.815,-0.017,0.008
14.825,-0.017,0.009
14.835,-0.018,0.01
14.845,-0.018,0.012
14.855,-0.018,0.013
14.865,-0.018,0.014
14.875,-0.018,0.016
14.885,-0.018,0.017
14.895,-0.018,0.019
14.905,-0.018,0.02
14.915,-0.018,0.022
14.925,-0.017,0.023
14.935,-0.017,0.025
14.945,-0.017,0.026
14.955,-0.017,0.028
14.965,-0.017,0.03
14.975,-0.017,0.031
14.985,-0.016,0.033
14.995,-0.016,0.035
15.005,-0.016,0.036
15.015,-0.016,0.038
15.025,-0.015,0.04
15.035,-0.015,0.042
15.045,-0.015,0.044
15.055,-0.014,0.046
15.065,-0.014,0.047
15.075,-0.013,0.049
15.085,-0.013,0.051
15.095,-0.013,0.053
15.105,-0.012,0.055
15.115,-0.012,0.057
15.125,-0.011,0.06
15.135,-0.01,0.062
15.145,-0.01,0.064
15.155,-0.009,0.066
15.165,-0.009,0.068
15.175,-0.008,0.071
15.185,-0.007,0.073
15.195,-0.007,0.075
15.205,-0.006,0.077
15.215,-0.005,0.08
15.225,-0.005,0.082
15.235,-0.004,0.085
15.245,-0.003,0.087
15.255,-0.002,0.09
15.265,-0.002,0.092
15.275,-0.001,0.095
15.285,0.0,0.098
15.295,0.001,0.1
15.305,0.002,0.103
15.315,0.003,0.106
15.325,0.004,0.109
15.335,0.005,0.111
15.345,0.006,0.116
15.354,0.007,0.12
15.364,0.008,0.124
15.374,0.009,0.128
15.384,0.01,0.132
15.394,0.011,0.135
15.404,0.012,0.139
15.414,0.013,0.143
15.424,0.014,0.147
15.434,0.016,0.15
15.444,0.017,0.154
15.454,0.018,0.158
15.464,0.019,0.161
15.474,0.021,0.165
15.484,0.022,0.169
15.494,0.023,0.173
15.503,0.025,0.176
15.513,0.026,0.18
15.523,0.028,0.184
15.533,0.029,0.188
15.543,0.03,0.192
15.553,0.032,0.196
15.563,0.033,0.2
15.573,0.035,0.204
15.583,0.037,0.208
15.592,0.038,0.212
15.602,0.04,0.216
15.612,0.041,0.22
15.622,0.043,0.225
15.632,0.045,0.229
15.642,0.047,0.233
15.652,0.048,0.238
15.661,0.05,0.242
15.671,0.052,0.247
15.681,0.054,0.251
15.691,0.056,0.256
15.701,0.057,0.261
15.711,0.059,0.265
15.72,0.061,0.27
15.73,0.063,0.275
15.74,0.065,0.28
15.75,0.067,0.285
15.759,0.069,0.29
15.769,0.072,0.295
15.779,0.074,0.301
15.789,0.076,0.306
15.799,0.078,0.311
15.808,0.08,0.317
15.818,0.083,0.322
15.828,0.085,0.328
15.837,0.087,0.334
15.847,0.09,0.339
15.857,0.092,0.345
15.867,0.094,0.351
15.876,0.097,0.357
15.886,0.099,0.363
15.896,0.102,0.369
15.905,0.105,0.375
15.915,0.107,0.382
15.925,0.11,0.388
15.934,0.113,0.394
15.944,0.115,0.401
15.953,0.118,0.407
15.963,0.121,0.414
15.973,0.124,0.42
15.982,0.127,0.427
15.992,0.13,0.434
16.001,0.133,0.441
16.011,0.136,0.448
16.02,0.139,0.454
16.03,0.142,0.461
16.039,0.145,0.468
16.049,0.148,0.475
16.058,0.151,0.482
16.068,0.155,0.489
16.077,0.158,0.496
16.087,0.161,0.504
16.096,0.165,0.511
16.105,0.168,0.518
16.115,0.172,0.525
16.124,0.175,0.532
16.133,0.179,0.54
16.143,0.183,0.547
16.152,0.186,0.554
16.161,0.19,0.562
16.17,0.194,0.569
16.18,0.198,0.576
16.189,0.202,0.584
16.198,0.206,0.591
16.207,0.21,0.598
16.216,0.214,0.606
16.225,0.218,0.613
16.234,0.223,0.62
16.243,0.227,0.628
16.252,0.231,0.635
16.261,0.236,0.642
16.27,0.24,0.65
16.279,0.245,0.657
16.288,0.249,0.664
16.297,0.254,0.671
16.306,0.259,0.678
16.314,0.264,0.686
16.323,0.269,0.693
16.332,0.273,0.7
16.34,0.279,0.707
16.349,0.284,0.714
16.358,0.289,0.721
16.366,0.294,0.728
16.374,0.3,0.735
16.383,0.305,0.742
16.391,0.31,0.748
16.399,0.316,0.755
16.408,0.322,0.762
16.416,0.328,0.769
16.424,0.333,0.776
16.432,0.339,0.782
16.44,0.345,0.789
16.448,0.351,0.796
16.456,0.358,0.802
16.464,0.364,0.809
16.471,0.37,0.815
16.479,0.377,0.822
