0.0,-0.0,-0.061,2.111,0.353
0.002,-0.0,-0.06,2.111,0.353
0.004,-0.0,-0.059,2.111,0.353
0.006,-0.0,-0.059,2.111,0.353
0.008,-0.001,-0.058,2.111,0.352
0.011,-0.001,-0.057,2.11,0.352
0.013,-0.001,-0.056,2.11,0.352
0.015,-0.001,-0.056,2.11,0.352
0.017,-0.001,-0.055,2.11,0.351
0.019,-0.001,-0.054,2.11,0.351
0.021,-0.001,-0.053,2.11,0.351
0.023,-0.001,-0.053,2.11,0.351
0.025,-0.001,-0.052,2.11,0.35
0.027,-0.002,-0.051,2.11,0.35
0.03,-0.002,-0.05,2.11,0.35
0.032,-0.002,-0.05,2.11,0.35
0.034,-0.002,-0.049,2.11,0.349
0.036,-0.002,-0.048,2.109,0.349
0.038,-0.002,-0.048,2.109,0.349
0.04,-0.002,-0.047,2.109,0.348
0.042,-0.002,-0.046,2.109,0.348
0.044,-0.002,-0.045,2.109,0.348
0.046,-0.002,-0.045,2.109,0.348
0.048,-0.003,-0.044,2.109,0.347
0.051,-0.003,-0.043,2.109,0.347
0.053,-0.003,-0.042,2.109,0.347
0.055,-0.003,-0.042,2.109,0.347
0.057,-0.003,-0.041,2.109,0.346
0.059,-0.003,-0.04,2.109,0.346
0.061,-0.003,-0.039,2.109,0.346
0.063,-0.003,-0.039,2.109,0.345
0.065,-0.003,-0.038,2.109,0.345
0.067,-0.003,-0.037,2.108,0.345
0.07,-0.003,-0.037,2.108,0.345
0.072,-0.003,-0.036,2.108,0.344
0.074,-0.004,-0.035,2.108,0.344
0.076,-0.004,-0.034,2.108,0.344
0.078,-0.004,-0.034,2.108,0.344
0.08,-0.004,-0.033,2.108,0.343
0.082,-0.004,-0.032,2.108,0.343
0.084,-0.004,-0.031,2.108,0.343
0.086,-0.004,-0.031,2.108,0.342
0.089,-0.004,-0.03,2.108,0.342
0.091,-0.004,-0.029,2.108,0.342
0.093,-0.004,-0.029,2.108,0.342
0.095,-0.004,-0.028,2.108,0.341
0.097,-0.004,-0.027,2.108,0.341
0.099,-0.004,-0.026,2.108,0.341
0.101,-0.004,-0.026,2.108,0.34
0.103,-0.004,-0.025,2.108,0.34
0.105,-0.004,-0.024,2.108,0.34
0.107,-0.005,-0.024,2.108,0.34
0.11,-0.005,-0.023,2.108,0.339
0.112,-0.005,-0.022,2.108,0.339
0.114,-0.005,-0.021,2.107,0.339
0.116,-0.005,-0.021,2.107,0.338
0.118,-0.005,-0.02,2.107,0.338
0.12,-0.005,-0.019,2.107,0.338
0.122,-0.005,-0.019,2.107,0.338
0.124,-0.005,-0.018,2.107,0.337
0.126,-0.005,-0.017,2.107,0.337
0.129,-0.005,-0.016,2.107,0.337
0.131,-0.005,-0.016,2.107,0.336
0.133,-0.005,-0.015,2.107,0.336
0.135,-0.005,-0.014,2.107,0.336
0.137,-0.005,-0.014,2.107,0.336
